PIC,SITE,TRANSACT,GROUP,LABEL,Live_Non_live,Count
14,Papagayo,1,Hard Coral,Pocillopora effusa,Live,4
14,Papagayo,1,Substrate,Gravel,Non-live,12
15,Papagayo,1,Algae,Turf algae,Live,84
15,Papagayo,1,CCA,Pink CCA,Live,4
15,Papagayo,1,CCA,Red CCA,Live,8
16,Papagayo,1,Algae,Turf algae,Live,84
16,Papagayo,1,CCA,Pink CCA,Live,8
16,Papagayo,1,Hard Coral,Porites lobata,Live,8
17,Papagayo,1,Algae,Turf algae,Live,60
17,Papagayo,1,CCA,Pink CCA,Live,8
17,Papagayo,1,CCA,Red CCA,Live,4
17,Papagayo,1,CCA,White CCA,Live,4
17,Papagayo,1,Hard Coral,Pocillopora effusa,Live,24
18,Papagayo,1,Algae,Turf algae,Live,16
18,Papagayo,1,CCA,Pink CCA,Live,44
18,Papagayo,1,CCA,White CCA,Live,12
18,Papagayo,1,Diadema,Diadema sp,Live,4
18,Papagayo,1,Hard Coral,Pocillopora effusa,Live,20
18,Papagayo,1,Substrate,Sand,Non-live,4
19,Papagayo,1,Algae,Turf algae,Live,8
19,Papagayo,1,CCA,Pink CCA,Live,40
19,Papagayo,1,CCA,White CCA,Live,8
19,Papagayo,1,Diadema,Diadema sp,Live,4
19,Papagayo,1,Hard Coral,Pocillopora effusa,Live,24
19,Papagayo,1,Substrate,Gravel,Non-live,12
20,Papagayo,1,Algae,Turf algae,Live,24
20,Papagayo,1,CCA,Pink CCA,Live,40
20,Papagayo,1,Diadema,Diadema sp,Live,8
20,Papagayo,1,Hard Coral,Pocillopora effusa,Live,28
21,Papagayo,1,Algae,Galaxaura,Live,4
21,Papagayo,1,Algae,Jania,Live,4
21,Papagayo,1,Algae,Turf algae,Live,60
21,Papagayo,1,CCA,Pink CCA,Live,28
21,Papagayo,1,CCA,Red CCA,Live,4
22,Papagayo,1,Algae,Turf algae,Live,40
22,Papagayo,1,CCA,Pink CCA,Live,32
22,Papagayo,1,CCA,White CCA,Live,4
22,Papagayo,1,Hard Coral,Pocillopora effusa,Live,24
23,Papagayo,1,Algae,Jania,Live,4
23,Papagayo,1,Algae,Turf algae,Live,68
23,Papagayo,1,Ascidian,Ascidian (solitary),Live,4
23,Papagayo,1,CCA,Pink CCA,Live,16
23,Papagayo,1,CCA,Red CCA,Live,8
24,Papagayo,1,Algae,Turf algae,Live,64
24,Papagayo,1,CCA,Pink CCA,Live,8
24,Papagayo,1,CCA,White CCA,Live,4
24,Papagayo,1,Hard Coral,Pocillopora effusa,Live,24
25,Papagayo,1,Algae,Turf algae,Live,16
25,Papagayo,1,CCA,Pink CCA,Live,44
25,Papagayo,1,CCA,Red CCA,Live,28
25,Papagayo,1,Sponge,Sponge,Non-live,4
25,Papagayo,1,Substrate,Rock,Non-live,4
26,Papagayo,1,Algae,Turf algae,Live,48
26,Papagayo,1,CCA,Pink CCA,Live,12
26,Papagayo,1,CCA,Red CCA,Live,24
26,Papagayo,1,Sponge,Sponge,Non-live,8
27,Papagayo,1,CCA,Pink CCA,Live,44
27,Papagayo,1,CCA,White CCA,Live,4
27,Papagayo,1,Diadema,Diadema sp,Live,8
27,Papagayo,1,Hard Coral,Pocillopora effusa,Live,44
28,Papagayo,1,Algae,Turf algae,Live,20
28,Papagayo,1,CCA,Pink CCA,Live,72
28,Papagayo,1,CCA,Red CCA,Live,8
29,Papagayo,1,Algae,Turf algae,Live,52
29,Papagayo,1,CCA,Pink CCA,Live,8
29,Papagayo,1,CCA,Red CCA,Live,4
29,Papagayo,1,CCA,White CCA,Live,4
29,Papagayo,1,Hard Coral,Pocillopora effusa,Live,24
29,Papagayo,1,Sponge,Sponge,Non-live,4
29,Papagayo,1,Substrate,Gravel,Non-live,4
30,Papagayo,1,Algae,Turf algae,Live,12
30,Papagayo,1,CCA,Pink CCA,Live,72
30,Papagayo,1,CCA,Red CCA,Live,8
30,Papagayo,1,CCA,White CCA,Live,4
30,Papagayo,1,Substrate,Rock,Non-live,4
31,Papagayo,1,Algae,Turf algae,Live,40
31,Papagayo,1,CCA,Pink CCA,Live,8
31,Papagayo,1,CCA,Red CCA,Live,4
31,Papagayo,1,CCA,White CCA,Live,8
31,Papagayo,1,Hard Coral,Pocillopora effusa,Live,32
31,Papagayo,1,Sponge,Sponge,Non-live,4
32,Papagayo,1,Algae,Turf algae,Live,44
32,Papagayo,1,CCA,Pink CCA,Live,28
32,Papagayo,1,CCA,Red CCA,Live,8
32,Papagayo,1,Hard Coral,Pocillopora effusa,Live,20
33,Papagayo,1,Algae,Turf algae,Live,52
33,Papagayo,1,CCA,Pink CCA,Live,16
33,Papagayo,1,CCA,Red CCA,Live,8
33,Papagayo,1,Hard Coral,Pocillopora effusa,Live,20
34,Papagayo,1,Algae,Turf algae,Live,68
34,Papagayo,1,CCA,Pink CCA,Live,28
35,Papagayo,1,Algae,Turf algae,Live,64
35,Papagayo,1,CCA,Pink CCA,Live,20
35,Papagayo,1,CCA,Red CCA,Live,4
35,Papagayo,1,Diadema,Diadema sp,Live,8
35,Papagayo,1,Substrate,Sand,Non-live,4
36,Papagayo,1,Algae,Turf algae,Live,32
36,Papagayo,1,CCA,Pink CCA,Live,20
36,Papagayo,1,Hard Coral,Pocillopora effusa,Live,44
37,Papagayo,1,Algae,Turf algae,Live,28
37,Papagayo,1,CCA,Pink CCA,Live,36
37,Papagayo,1,CCA,White CCA,Live,12
37,Papagayo,1,Hard Coral,Pocillopora effusa,Live,16
38,Papagayo,1,Algae,Turf algae,Live,8
38,Papagayo,1,CCA,Pink CCA,Live,44
38,Papagayo,1,CCA,Red CCA,Live,4
38,Papagayo,1,CCA,White CCA,Live,8
38,Papagayo,1,Hard Coral,Pocillopora effusa,Live,32
39,Papagayo,1,Algae,Turf algae,Live,52
39,Papagayo,1,Ascidian,Ascidian (solitary),Live,4
39,Papagayo,1,CCA,Pink CCA,Live,28
39,Papagayo,1,CCA,Red CCA,Live,12
40,Papagayo,1,Algae,Turf algae,Live,40
40,Papagayo,1,CCA,Pink CCA,Live,4
40,Papagayo,1,CCA,Red CCA,Live,4
40,Papagayo,1,CCA,White CCA,Live,8
40,Papagayo,1,Hard Coral,Pocillopora effusa,Live,40
41,Papagayo,1,Algae,Turf algae,Live,12
41,Papagayo,1,CCA,Pink CCA,Live,80
41,Papagayo,1,CCA,Red CCA,Live,4
41,Papagayo,1,Diadema,Diadema sp,Live,4
42,Papagayo,1,Algae,Turf algae,Live,20
42,Papagayo,1,CCA,Pink CCA,Live,44
42,Papagayo,1,CCA,Red CCA,Live,4
42,Papagayo,1,CCA,White CCA,Live,4
42,Papagayo,1,Hard Coral,Pocillopora effusa,Live,24
43,Papagayo,1,Algae,Turf algae,Live,48
43,Papagayo,1,CCA,Pink CCA,Live,36
43,Papagayo,1,CCA,White CCA,Live,4
43,Papagayo,1,Hard Coral,Pocillopora effusa,Live,12
44,Papagayo,1,Algae,Turf algae,Live,36
44,Papagayo,1,CCA,Pink CCA,Live,40
44,Papagayo,1,CCA,Red CCA,Live,16
44,Papagayo,1,Substrate,Gravel,Non-live,4
45,Papagayo,1,Algae,Turf algae,Live,84
45,Papagayo,1,CCA,Pink CCA,Live,8
45,Papagayo,1,Substrate,Gravel,Non-live,8
46,Papagayo,1,Algae,Turf algae,Live,36
46,Papagayo,1,CCA,Pink CCA,Live,28
46,Papagayo,1,CCA,Red CCA,Live,4
46,Papagayo,1,Hard Coral,Pocillopora effusa,Live,28
47,Papagayo,1,Algae,Turf algae,Live,80
47,Papagayo,1,CCA,Pink CCA,Live,8
47,Papagayo,1,CCA,White CCA,Live,4
47,Papagayo,1,Hard Coral,Pocillopora effusa,Live,4
47,Papagayo,1,Substrate,Sand,Non-live,4
48,Papagayo,1,Algae,Turf algae,Live,40
48,Papagayo,1,CCA,Pink CCA,Live,24
48,Papagayo,1,CCA,White CCA,Live,4
48,Papagayo,1,Hard Coral,Pocillopora effusa,Live,28
49,Papagayo,1,Algae,Turf algae,Live,48
49,Papagayo,1,CCA,Pink CCA,Live,44
49,Papagayo,1,CCA,Red CCA,Live,4
49,Papagayo,1,Substrate,Gravel,Non-live,4
50,Papagayo,1,Algae,Turf algae,Live,16
50,Papagayo,1,CCA,Pink CCA,Live,40
50,Papagayo,1,CCA,Red CCA,Live,8
50,Papagayo,1,CCA,White CCA,Live,4
50,Papagayo,1,Hard Coral,Pocillopora effusa,Live,32
51,Papagayo,1,Algae,Turf algae,Live,12
51,Papagayo,1,CCA,Pink CCA,Live,64
51,Papagayo,1,CCA,Red CCA,Live,4
51,Papagayo,1,CCA,White CCA,Live,8
51,Papagayo,1,Diadema,Diadema sp,Live,8
51,Papagayo,1,Hard Coral,Pocillopora effusa,Live,4
52,Papagayo,1,Algae,Turf algae,Live,16
52,Papagayo,1,CCA,Pink CCA,Live,56
52,Papagayo,1,CCA,Red CCA,Live,4
52,Papagayo,1,Diadema,Diadema sp,Live,4
52,Papagayo,1,Hard Coral,Pocillopora effusa,Live,20
53,Papagayo,1,Algae,Turf algae,Live,20
53,Papagayo,1,CCA,Pink CCA,Live,72
53,Papagayo,1,Soft Coral,Soft Coral,Non-live,8
54,Papagayo,1,Algae,Turf algae,Live,20
54,Papagayo,1,CCA,Pink CCA,Live,28
54,Papagayo,1,CCA,Red CCA,Live,4
54,Papagayo,1,CCA,White CCA,Live,32
54,Papagayo,1,Diadema,Diadema sp,Live,4
54,Papagayo,1,Soft Coral,Soft Coral,Non-live,8
54,Papagayo,1,Sponge,Sponge,Non-live,4
55,Papagayo,1,Algae,Turf algae,Live,48
55,Papagayo,1,CCA,Pink CCA,Live,28
55,Papagayo,1,CCA,Red CCA,Live,20
56,Papagayo,1,Algae,Turf algae,Live,48
56,Papagayo,1,CCA,Pink CCA,Live,20
56,Papagayo,1,CCA,White CCA,Live,4
56,Papagayo,1,Diadema,Diadema sp,Live,8
56,Papagayo,1,Hard Coral,Pocillopora effusa,Live,20
57,Papagayo,1,Algae,Turf algae,Live,44
57,Papagayo,1,CCA,Pink CCA,Live,28
57,Papagayo,1,Hard Coral,Pocillopora effusa,Live,28
58,Papagayo,1,Algae,Turf algae,Live,56
58,Papagayo,1,CCA,Pink CCA,Live,36
58,Papagayo,1,CCA,Red CCA,Live,4
59,Papagayo,1,Algae,Turf algae,Live,28
59,Papagayo,1,CCA,Pink CCA,Live,44
59,Papagayo,1,CCA,Red CCA,Live,12
59,Papagayo,1,Hard Coral,Pocillopora effusa,Live,16
60,Papagayo,1,Algae,Turf algae,Live,48
60,Papagayo,1,Ascidian,Ascidian (solitary),Live,4
60,Papagayo,1,CCA,Pink CCA,Live,20
60,Papagayo,1,CCA,Red CCA,Live,8
60,Papagayo,1,Hard Coral,Pocillopora effusa,Live,12
60,Papagayo,1,Sponge,Sponge,Non-live,4
61,Papagayo,1,Algae,Turf algae,Live,48
61,Papagayo,1,CCA,Pink CCA,Live,40
61,Papagayo,1,CCA,Red CCA,Live,4
61,Papagayo,1,CCA,White CCA,Live,4
61,Papagayo,1,Diadema,Diadema sp,Live,4
62,Papagayo,1,CCA,Pink CCA,Live,48
62,Papagayo,1,CCA,White CCA,Live,44
62,Papagayo,1,Diadema,Diadema sp,Live,4
63,Papagayo,1,Algae,Turf algae,Live,8
63,Papagayo,1,CCA,Pink CCA,Live,60
63,Papagayo,1,CCA,White CCA,Live,28
63,Papagayo,1,Hard Coral,Porites lobata,Live,4
64,Papagayo,1,Algae,Turf algae,Live,12
64,Papagayo,1,CCA,Pink CCA,Live,36
64,Papagayo,1,CCA,White CCA,Live,44
64,Papagayo,1,Diadema,Diadema sp,Live,8
65,Papagayo,1,CCA,Pink CCA,Live,80
65,Papagayo,1,CCA,White CCA,Live,4
65,Papagayo,1,Diadema,Diadema sp,Live,16
66,Papagayo,1,CCA,Pink CCA,Live,68
66,Papagayo,1,CCA,White CCA,Live,12
66,Papagayo,1,Diadema,Diadema sp,Live,12
67,Papagayo,1,Algae,Turf algae,Live,40
67,Papagayo,1,CCA,Pink CCA,Live,48
67,Papagayo,1,Diadema,Diadema sp,Live,8
67,Papagayo,1,Hard Coral,Pocillopora effusa,Live,4
68,Papagayo,1,Algae,Turf algae,Live,20
68,Papagayo,1,CCA,Pink CCA,Live,24
68,Papagayo,1,CCA,Red CCA,Live,8
68,Papagayo,1,CCA,White CCA,Live,12
68,Papagayo,1,Diadema,Diadema sp,Live,4
68,Papagayo,1,Hard Coral,Pocillopora effusa,Live,28
69,Papagayo,1,Algae,Turf algae,Live,48
69,Papagayo,1,CCA,Pink CCA,Live,44
69,Papagayo,1,CCA,Red CCA,Live,4
69,Papagayo,1,Diadema,Diadema sp,Live,4
70,Papagayo,1,Algae,Turf algae,Live,44
70,Papagayo,1,CCA,Pink CCA,Live,48
70,Papagayo,1,CCA,Red CCA,Live,8
71,Papagayo,1,Algae,Turf algae,Live,16
71,Papagayo,1,CCA,Pink CCA,Live,60
71,Papagayo,1,CCA,Red CCA,Live,4
71,Papagayo,1,CCA,White CCA,Live,12
71,Papagayo,1,Diadema,Diadema sp,Live,8
72,Papagayo,1,Algae,Turf algae,Live,24
72,Papagayo,1,CCA,Pink CCA,Live,48
72,Papagayo,1,CCA,Red CCA,Live,4
72,Papagayo,1,CCA,White CCA,Live,4
72,Papagayo,1,Hard Coral,Pocillopora effusa,Live,16
73,Papagayo,1,Algae,Turf algae,Live,20
73,Papagayo,1,CCA,Pink CCA,Live,72
73,Papagayo,1,CCA,White CCA,Live,4
74,Papagayo,1,Algae,Turf algae,Live,8
74,Papagayo,1,CCA,Pink CCA,Live,72
74,Papagayo,1,CCA,Red CCA,Live,4
74,Papagayo,1,CCA,White CCA,Live,12
74,Papagayo,1,Diadema,Diadema sp,Live,4
75,Papagayo,1,Algae,Turf algae,Live,4
75,Papagayo,1,CCA,Pink CCA,Live,56
75,Papagayo,1,CCA,White CCA,Live,16
75,Papagayo,1,Hard Coral,Pocillopora effusa,Live,24
76,Papagayo,1,CCA,Pink CCA,Live,40
76,Papagayo,1,CCA,White CCA,Live,20
76,Papagayo,1,Diadema,Diadema sp,Live,36
77,Papagayo,1,CCA,Pink CCA,Live,64
77,Papagayo,1,CCA,Red CCA,Live,4
77,Papagayo,1,CCA,White CCA,Live,20
77,Papagayo,1,Diadema,Diadema sp,Live,12
78,Papagayo,1,Algae,Turf algae,Live,52
78,Papagayo,1,CCA,Pink CCA,Live,36
78,Papagayo,1,CCA,White CCA,Live,12
79,Papagayo,1,Algae,Turf algae,Live,52
79,Papagayo,1,CCA,Pink CCA,Live,28
79,Papagayo,1,CCA,Red CCA,Live,4
79,Papagayo,1,CCA,White CCA,Live,8
79,Papagayo,1,Diadema,Diadema sp,Live,4
80,Papagayo,1,Algae,Turf algae,Live,16
80,Papagayo,1,CCA,Pink CCA,Live,56
80,Papagayo,1,CCA,Red CCA,Live,8
80,Papagayo,1,CCA,White CCA,Live,8
80,Papagayo,1,Diadema,Diadema sp,Live,8
80,Papagayo,1,Hard Coral,Pocillopora effusa,Live,4
81,Papagayo,1,Algae,Turf algae,Live,32
81,Papagayo,1,CCA,Pink CCA,Live,52
81,Papagayo,1,CCA,Red CCA,Live,8
81,Papagayo,1,CCA,White CCA,Live,4
81,Papagayo,1,Diadema,Diadema sp,Live,4
82,Papagayo,1,Algae,Turf algae,Live,60
82,Papagayo,1,CCA,Pink CCA,Live,40
83,Papagayo,1,Algae,Turf algae,Live,72
83,Papagayo,1,CCA,Pink CCA,Live,20
83,Papagayo,1,CCA,Red CCA,Live,4
83,Papagayo,1,CCA,White CCA,Live,4
84,Papagayo,1,Algae,Turf algae,Live,92
84,Papagayo,1,CCA,Pink CCA,Live,4
84,Papagayo,1,CCA,White CCA,Live,4
85,Papagayo,1,Algae,Turf algae,Live,52
85,Papagayo,1,CCA,Pink CCA,Live,48
86,Papagayo,1,Algae,Turf algae,Live,16
86,Papagayo,1,CCA,Pink CCA,Live,64
86,Papagayo,1,CCA,White CCA,Live,4
86,Papagayo,1,Diadema,Diadema sp,Live,4
86,Papagayo,1,Hard Coral,Pocillopora effusa,Live,8
87,Papagayo,1,Algae,Turf algae,Live,16
87,Papagayo,1,CCA,Pink CCA,Live,68
87,Papagayo,1,CCA,White CCA,Live,8
87,Papagayo,1,Diadema,Diadema sp,Live,4
87,Papagayo,1,Soft Coral,Soft Coral,Non-live,4
88,Papagayo,1,Algae,Turf algae,Live,8
88,Papagayo,1,CCA,Pink CCA,Live,68
88,Papagayo,1,CCA,White CCA,Live,12
88,Papagayo,1,Hard Coral,Pocillopora effusa,Live,12
89,Papagayo,1,Algae,Turf algae,Live,4
89,Papagayo,1,CCA,Pink CCA,Live,72
89,Papagayo,1,CCA,White CCA,Live,16
89,Papagayo,1,Diadema,Diadema sp,Live,8
90,Papagayo,1,CCA,Pink CCA,Live,28
90,Papagayo,1,CCA,White CCA,Live,28
90,Papagayo,1,Diadema,Diadema sp,Live,12
90,Papagayo,1,Hard Coral,Pocillopora effusa,Live,32
91,Papagayo,2,Algae,Turf algae,Live,44
91,Papagayo,2,CCA,Pink CCA,Live,52
91,Papagayo,2,Substrate,Gravel,Non-live,4
92,Papagayo,2,Algae,Turf algae,Live,68
92,Papagayo,2,CCA,Pink CCA,Live,28
92,Papagayo,2,Diadema,Diadema sp,Live,4
93,Papagayo,2,Algae,Turf algae,Live,36
93,Papagayo,2,CCA,Pink CCA,Live,24
93,Papagayo,2,CCA,White CCA,Live,4
93,Papagayo,2,Diadema,Diadema sp,Live,4
93,Papagayo,2,Substrate,Sand,Non-live,24
93,Papagayo,2,Unknown,Unknown,Non-live,8
94,Papagayo,2,Algae,Turf algae,Live,64
94,Papagayo,2,CCA,Pink CCA,Live,24
94,Papagayo,2,Hard Coral,Pocillopora effusa,Live,12
95,Papagayo,2,Algae,Turf algae,Live,28
95,Papagayo,2,CCA,Pink CCA,Live,44
95,Papagayo,2,Diadema,Diadema sp,Live,4
95,Papagayo,2,Hard Coral,Pavona gigantea,Live,24
96,Papagayo,2,Algae,Turf algae,Live,44
96,Papagayo,2,CCA,Pink CCA,Live,40
96,Papagayo,2,Hard Coral,Pavona gigantea,Live,12
96,Papagayo,2,Substrate,Gravel,Non-live,4
97,Papagayo,2,Algae,Turf algae,Live,64
97,Papagayo,2,CCA,Pink CCA,Live,8
97,Papagayo,2,CCA,White CCA,Live,4
97,Papagayo,2,Hard Coral,Porites lobata,Live,24
98,Papagayo,2,Algae,Turf algae,Live,88
98,Papagayo,2,CCA,Pink CCA,Live,4
98,Papagayo,2,Substrate,Gravel,Non-live,4
98,Papagayo,2,Substrate,Sand,Non-live,4
99,Papagayo,2,Algae,Turf algae,Live,84
99,Papagayo,2,CCA,Pink CCA,Live,4
99,Papagayo,2,Hard Coral,Pocillopora effusa,Live,8
99,Papagayo,2,Substrate,Sand,Non-live,4
100,Papagayo,2,Algae,Turf algae,Live,84
100,Papagayo,2,CCA,Pink CCA,Live,8
100,Papagayo,2,Hard Coral,Psammocora stellata,Live,4
100,Papagayo,2,Substrate,Sand,Non-live,4
101,Papagayo,2,Algae,Turf algae,Live,52
101,Papagayo,2,CCA,Pink CCA,Live,16
101,Papagayo,2,Diadema,Diadema sp,Live,4
101,Papagayo,2,Hard Coral,Pocillopora effusa,Live,28
102,Papagayo,2,Algae,Turf algae,Live,20
102,Papagayo,2,CCA,Pink CCA,Live,76
102,Papagayo,2,CCA,Red CCA,Live,4
103,Papagayo,2,Algae,Turf algae,Live,40
103,Papagayo,2,CCA,Pink CCA,Live,36
103,Papagayo,2,CCA,Red CCA,Live,12
103,Papagayo,2,Hard Coral,Pocillopora effusa,Live,12
104,Papagayo,2,Algae,Turf algae,Live,44
104,Papagayo,2,CCA,Pink CCA,Live,40
104,Papagayo,2,CCA,White CCA,Live,4
104,Papagayo,2,Diadema,Diadema sp,Live,12
105,Papagayo,2,Algae,Turf algae,Live,56
105,Papagayo,2,CCA,Pink CCA,Live,24
105,Papagayo,2,CCA,White CCA,Live,4
105,Papagayo,2,Hard Coral,Pocillopora effusa,Live,12
106,Papagayo,2,Algae,Turf algae,Live,76
106,Papagayo,2,CCA,Pink CCA,Live,12
106,Papagayo,2,Diadema,Diadema sp,Live,4
106,Papagayo,2,Substrate,Sand,Non-live,8
107,Papagayo,2,Algae,Turf algae,Live,68
107,Papagayo,2,CCA,Pink CCA,Live,4
107,Papagayo,2,CCA,White CCA,Live,4
107,Papagayo,2,Hard Coral,Pavona gigantea,Live,12
107,Papagayo,2,Substrate,Sand,Non-live,12
108,Papagayo,2,Algae,Turf algae,Live,84
108,Papagayo,2,Substrate,Gravel,Non-live,8
108,Papagayo,2,Substrate,Rock,Non-live,8
109,Papagayo,2,Algae,Turf algae,Live,60
109,Papagayo,2,Substrate,Gravel,Non-live,24
109,Papagayo,2,Substrate,Rock,Non-live,4
109,Papagayo,2,Substrate,Sand,Non-live,12
110,Papagayo,2,Algae,Turf algae,Live,64
110,Papagayo,2,CCA,Pink CCA,Live,20
110,Papagayo,2,CCA,White CCA,Live,4
110,Papagayo,2,Diadema,Diadema sp,Live,4
110,Papagayo,2,Hard Coral,Pocillopora effusa,Live,8
111,Papagayo,2,Algae,Turf algae,Live,52
111,Papagayo,2,CCA,Pink CCA,Live,48
112,Papagayo,2,Algae,Turf algae,Live,40
112,Papagayo,2,CCA,Pink CCA,Live,4
112,Papagayo,2,CCA,Red CCA,Live,4
112,Papagayo,2,CCA,White CCA,Live,4
112,Papagayo,2,Hard Coral,Pocillopora effusa,Live,48
113,Papagayo,2,Algae,Turf algae,Live,40
113,Papagayo,2,CCA,Pink CCA,Live,16
113,Papagayo,2,CCA,White CCA,Live,4
113,Papagayo,2,Hard Coral,Pocillopora effusa,Live,40
114,Papagayo,2,Algae,Turf algae,Live,72
114,Papagayo,2,CCA,Pink CCA,Live,24
114,Papagayo,2,Diadema,Diadema sp,Live,4
115,Papagayo,2,Algae,Turf algae,Live,44
115,Papagayo,2,CCA,Pink CCA,Live,16
115,Papagayo,2,CCA,Red CCA,Live,4
115,Papagayo,2,Diadema,Diadema sp,Live,4
115,Papagayo,2,Hard Coral,Pavona gigantea,Live,4
115,Papagayo,2,Hard Coral,Pocillopora effusa,Live,12
115,Papagayo,2,Substrate,Sand,Non-live,4
116,Papagayo,2,Algae,Turf algae,Live,60
116,Papagayo,2,CCA,Pink CCA,Live,20
116,Papagayo,2,Hard Coral,Pavona gigantea,Live,8
116,Papagayo,2,Substrate,Rock,Non-live,8
116,Papagayo,2,Substrate,Sand,Non-live,4
117,Papagayo,2,Algae,Turf algae,Live,92
117,Papagayo,2,Substrate,Gravel,Non-live,4
118,Papagayo,2,Algae,Turf algae,Live,64
118,Papagayo,2,CCA,Pink CCA,Live,8
118,Papagayo,2,Hard Coral,Pavona gigantea,Live,16
118,Papagayo,2,Substrate,Sand,Non-live,4
119,Papagayo,2,Algae,Turf algae,Live,80
119,Papagayo,2,CCA,Pink CCA,Live,8
119,Papagayo,2,Substrate,Sand,Non-live,8
120,Papagayo,2,Algae,Turf algae,Live,92
120,Papagayo,2,Substrate,Gravel,Non-live,4
120,Papagayo,2,Substrate,Sand,Non-live,4
121,Papagayo,2,Algae,Turf algae,Live,52
121,Papagayo,2,CCA,Pink CCA,Live,4
121,Papagayo,2,CCA,Red CCA,Live,4
121,Papagayo,2,Hard Coral,Pocillopora effusa,Live,16
121,Papagayo,2,Hard Coral,Porites lobata,Live,4
121,Papagayo,2,Substrate,Gravel,Non-live,8
121,Papagayo,2,Substrate,Sand,Non-live,12
122,Papagayo,2,Algae,Turf algae,Live,76
122,Papagayo,2,CCA,Pink CCA,Live,8
122,Papagayo,2,Hard Coral,Psammocora stellata,Live,4
122,Papagayo,2,Substrate,Sand,Non-live,12
123,Papagayo,2,Algae,Caulerpa spp.,Live,8
123,Papagayo,2,Algae,Turf algae,Live,68
123,Papagayo,2,CCA,Pink CCA,Live,8
123,Papagayo,2,Substrate,Sand,Non-live,16
124,Papagayo,2,Algae,Turf algae,Live,100
125,Papagayo,2,Algae,Turf algae,Live,80
125,Papagayo,2,CCA,Pink CCA,Live,4
125,Papagayo,2,Substrate,Gravel,Non-live,4
125,Papagayo,2,Substrate,Sand,Non-live,12
126,Papagayo,2,Algae,Turf algae,Live,56
